Temporada,Date,ADV,Resultado,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,V,BLK,STL,PF,TO,PTS,Estat. Temporada Regular
2017,Qui 2/3,emMIL,V110-98,30.0,6-10,60.0,0-0,0.0,1-2,50.0,14.0,10.0,0.0,1.0,1.0,3.0,13.0,
2017,march,march,march,29.9,8.1-13.2,61.0,0.5-2.2,25.0,2.9-3.5,84.4,11.8,6.2,0.4,0.8,2.6,3.0,19.6,
2017,Qua 1/3,emCHI,V125-107,33.0,6-10,60.0,3-3,100.0,4-4,100.0,16.0,10.0,1.0,0.0,1.0,3.0,19.0,
2017,Dom 26/2,xMEM,D105-98,33.0,5-11,45.5,0-2,0.0,0-0,0.0,11.0,6.0,1.0,1.0,3.0,2.0,10.0,
2017,Sáb 25/2,xBKN,V129-109,15.0,1-1,100.0,0-0,0.0,0-0,0.0,5.0,7.0,1.0,1.0,4.0,4.0,2.0,
2017,Sex 24/2,emSAC,D116-100,26.0,2-7,28.6,0-2,0.0,0-0,0.0,11.0,2.0,0.0,0.0,3.0,1.0,4.0,
2017,Qui 16/2,xMIN,D112-99,34.0,6-19,31.6,2-5,40.0,1-2,50.0,14.0,4.0,3.0,1.0,5.0,2.0,15.0,
2017,Ter 14/2,xGS,V132-110,36.0,7-13,53.8,0-0,0.0,3-4,75.0,21.0,12.0,0.0,2.0,3.0,6.0,17.0,
2017,Dom 12/2,emCLE,D125-109,38.0,9-18,50.0,1-2,50.0,8-10,80.0,13.0,4.0,2.0,0.0,2.0,5.0,27.0,
2017,Sáb 11/2,emNY,V131-123,37.0,17-23,73.9,2-3,66.7,4-5,80.0,9.0,5.0,0.0,2.0,2.0,2.0,40.0,
2017,Qui 9/2,emATL,D117-106,34.0,8-17,47.1,2-3,66.7,0-0,0.0,15.0,3.0,0.0,0.0,4.0,0.0,18.0,
2017,Ter 7/2,xDAL,V110-87,24.0,5-9,55.6,0-1,0.0,3-3,100.0,4.0,9.0,0.0,1.0,5.0,2.0,13.0,
2017,Dom 5/2,emSA,D121-97,15.0,5-9,55.6,1-2,50.0,0-0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,11.0,
2017,Sáb 4/2,xMIL,V121-117,32.0,8-15,53.3,2-4,50.0,2-2,100.0,12.0,11.0,0.0,1.0,0.0,2.0,20.0,
2017,february,february,february,29.8,6.6-12.7,52.0,1.1-2.3,48.1,2.1-2.5,83.3,11.0,6.3,0.7,0.8,2.9,2.8,16.3,
2017,Sex 27/1,xPHX,V127-120,36.0,12-21,57.1,0-2,0.0,5-6,83.3,14.0,8.0,2.0,1.0,2.0,3.0,29.0,
2017,Qua 25/1,xUTAH,V103-93,35.0,9-15,60.0,0-4,0.0,5-5,100.0,11.0,6.0,3.0,2.0,3.0,4.0,23.0,
2017,Seg 23/1,emMIN,D111-108,27.0,8-15,53.3,0-3,0.0,2-2,100.0,9.0,4.0,2.0,2.0,5.0,4.0,18.0,
2017,Dom 22/1,xLAC,V123-98,21.0,8-11,72.7,2-3,66.7,1-1,100.0,10.0,3.0,0.0,0.0,3.0,3.0,19.0,
2017,Sex 20/1,emSA,D118-104,38.0,14-22,63.6,2-4,50.0,5-5,100.0,12.0,4.0,2.0,0.0,2.0,3.0,35.0,
2017,Qua 18/1,emLAL,V127-121,34.0,12-22,54.5,1-5,20.0,4-6,66.7,15.0,1.0,3.0,0.0,3.0,2.0,29.0,
2017,Seg 16/1,xORL,V125-112,36.0,13-19,68.4,1-2,50.0,3-5,60.0,11.0,5.0,1.0,3.0,2.0,2.0,30.0,
2017,Qui 12/1,xIND,V140-112,30.0,7-11,63.6,2-3,66.7,6-6,100.0,10.0,8.0,1.0,1.0,1.0,3.0,22.0,
2017,Sex 6/1,xSA,D127-99,27.0,8-10,80.0,0-0,0.0,3-4,75.0,11.0,5.0,0.0,1.0,2.0,3.0,19.0,
2017,Qua 4/1,xSAC,D120-113,28.0,7-11,63.6,1-2,50.0,3-3,100.0,6.0,5.0,1.0,1.0,3.0,1.0,18.0,
2017,Ter 3/1,emGS,D127-119,25.0,8-17,47.1,1-2,50.0,4-4,100.0,13.0,5.0,0.0,1.0,2.0,2.0,21.0,
2017,january,january,january,30.6,9.6-15.8,60.9,0.9-2.7,33.3,3.7-4.3,87.2,11.1,4.9,1.4,1.1,2.5,2.7,23.9,
2017,Sáb 31/12,xPHI,D124-122,22.0,9-13,69.2,0-0,0.0,7-9,77.8,7.0,4.0,0.0,0.0,5.0,2.0,25.0,
2017,Qui 29/12,xMIN,V105-103,34.0,6-12,50.0,0-2,0.0,4-5,80.0,8.0,11.0,1.0,0.0,3.0,2.0,16.0,
2017,Ter 27/12,emLAC,V106-102,32.0,11-16,68.8,2-3,66.7,0-1,0.0,10.0,4.0,0.0,3.0,4.0,2.0,24.0,
